transaction_date,card,merchant,amount_cad
2025-01-01,amex-1001,MOFER COFFEE TORONTO    TORONTO,5.74
2025-01-01,amex-1001,UNCLE TETSU CANADA 2080 TORONTO,2.95
2025-01-02,amex-1001,GYRO MAZDA 00-080432223 EAST YORK,1163.89
2025-01-02,amex-1001,KFC #1309 KFC #1309     TORONTO,10.39
2025-01-02,amex-1001,MAD RADISH LEASIDE 2130 TORONTO,18.40
2025-01-02,amex-1001,TIM HORTONS #3143       TORONTO,6.49
2025-01-02,cibc-2451,"YOU DON YA TORONTO, ON",31.05
2025-01-02,cibc-8359,"KINTARO IZAKAYA TORONTO, ON",88.15
2025-01-03,amex-1001,BELL CANADA (OB)        MONTREAL,410.82
2025-01-03,amex-1001,CAMBRIDGE GROUP OF CL   416-363-9454,170.27
2025-01-03,amex-1001,CAMBRIDGE GROUP OF CL   416-363-9454,244.70
2025-01-03,amex-1001,TST-CHEFS HALL - TEMPU  TORONTO,21.00
2025-01-03,cibc-2451,AIR CANADA 0144277231582 PARIS 386.00 CNY @ .203031,78.37
2025-01-03,cibc-2451,"Amazon.ca Prime Member amazon.ca/pri, BC",11.29
2025-01-03,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",19.61
2025-01-03,cibc-8359,"COSTCO WHOLESALE W1316 EAST YORK, ON",38.53
2025-01-04,amex-1001,PETRO-CANADA 59041      TORONTO,79.49
2025-01-05,amex-1001,PPL THE WELL PARKING    TORONTO,15.00
2025-01-05,amex-1001,REXALL PHARMACY #8141 T TORONTO,20.33
2025-01-06,amex-1001,CAMBRIDGE GROUP ACCOU   416-363-9454,16.95
2025-01-06,amex-1001,CAMBRIDGE GROUP ACCOU   416-363-9454,16.95
2025-01-06,amex-1001,HOLY COW STEAK HOUSE 00 TORONTO,22.99
2025-01-06,amex-1001,LULULEMON 00768         TORONTO,-302.84
2025-01-06,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",13.25
2025-01-06,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",21.99
2025-01-06,cibc-2451,"THE INFORMATION THEINFORMATIO, CA 44.99 USD @ 1.482773",66.71
2025-01-06,cibc-8359,"COSTCO WHOLESALE W524 ETOBICOKE, ON",35.97
2025-01-07,amex-1001,2403384 ONTARIO LIMITED CALEDON,14.19
2025-01-07,amex-1001,CAMBRIDGE GROUP ACCOU   416-363-9454,16.95
2025-01-07,amex-1001,COLUMBIA SPORTSWEAR CAN LONDON,157.06
2025-01-07,amex-1001,MEMBERSHIP FEE INSTALLMENT,12.99
2025-01-07,amex-1001,RABBA FINE FOODS #171   TORONTO,4.99
2025-01-07,cibc-2451,"ATM CASH ADVANCE-RB/AVANC E FONDS-GAB R, B",303.50
2025-01-07,cibc-2451,CASH ADV/BT/CONV CHQ FEE,5.00
2025-01-07,cibc-2451,"IMPARK00090433A TORONTO, ON",17.00
2025-01-07,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",21.75
2025-01-08,amex-1001,2403384 ONTARIO LIMITED CALEDON,11.49
2025-01-08,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",27.09
2025-01-09,amex-1001,BUSINESS INSIDER        NEW YORK,16.89
2025-01-09,amex-1001,PAYMENT RECEIVED - THANK YOU,-2192.72
2025-01-09,cibc-2451,"IMPARK00090025U TORONTO, ON",5.00
2025-01-09,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",12.02
2025-01-10,amex-1001,2403384 ONTARIO LIMITED CALEDON,14.19
2025-01-10,amex-1001,A&W - BRANTFORD #4883 B BRANTFORD,8.59
2025-01-10,amex-1001,CAMBRIDGE GROUP ACCOU   416-363-9454,-50.85
2025-01-10,amex-1001,QUEEN DRY CLEANERS LOC  TORONTO,62.15
2025-01-10,cibc-2451,Onlyfans.Com London 19.21 USD @ 1.477355,28.38
2025-01-10,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",37.21
2025-01-11,amex-1001,CAMBRIDGE GROUP ACCOU   416-363-9454,-16.95
2025-01-12,amex-1001,AMZN MKTP CA*Z53G89FF0  WWW.AMAZON.CA,54.22
2025-01-12,amex-1001,ESSO CIRCLE K 0302      MILTON,72.81
2025-01-12,amex-1001,GOOGLE *DOW JONES       G.CO/HELPPAY#,48.50
2025-01-13,amex-1001,GOOGLE *LEAP FITNESS    G.CO/HELPPAY#,16.94
2025-01-13,amex-1001,MCDONALD'S #29131 QPS   TORONTO,17.98
2025-01-13,cibc-2451,"BOGDA RESTAURANT WATERLOO, ON",60.99
2025-01-13,cibc-2451,"IMPARK00090025U TORONTO, ON",5.00
2025-01-13,cibc-2451,PAYMENT THANK YOU/PAIEMEN T MERCI,-373.70
2025-01-13,cibc-2451,"QING SHU HOT POT WATERLOO, ON",15.92
2025-01-13,cibc-2451,"SQUARE ONE INSURANCE SERV VANCOUVER, BC",13.62
2025-01-13,cibc-2451,"T&T SUPERMARKET #015 MISSISSAUGA, ON",32.96
2025-01-13,cibc-2451,"THE NEW YORK TIMES 180-06984637, NY",22.60
2025-01-13,cibc-8359,PAYMENT THANK YOU/PAIEMEN T MERCI,-162.65
2025-01-14,amex-1001,CAMBRIDGE GROUP ACCOU   416-363-9454,-1872.95
2025-01-14,amex-1001,CANADIAN TIRE STORE #62 TORONTO,0.40
2025-01-14,amex-1001,CANADIAN TIRE STORE #62 TORONTO,42.92
2025-01-14,amex-1001,LONGOS LIBERTY VILLAGE  TORONTO,5.99
2025-01-14,cibc-2451,"E# KARAOKE LOUNGE WATERLOO, ON",32.60
2025-01-14,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",17.71
2025-01-15,amex-1001,HOLY COW STEAK HOUSE 00 TORONTO,21.84
2025-01-15,cibc-2451,"METERGY/EZ-PAY 866-449-4423, ON",101.46
2025-01-15,cibc-2451,"METERGY/EZ-PAY FEE 800-766-6616, ON",1.78
2025-01-15,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",20.30
2025-01-15,cibc-8359,"COSTCO WHOLESALE W524 ETOBICOKE, ON",143.95
2025-01-16,amex-1001,2403384 ONTARIO LIMITED CALEDON,13.59
2025-01-16,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",14.57
2025-01-16,cibc-2451,"TASTY CHINESE FOOD TORONTO, ON",14.22
2025-01-17,amex-1001,NETFLIX.COM             866-716-0414,6.77
2025-01-17,amex-1001,TASTY CHINESE FOOD TORO TORONTO,14.22
2025-01-17,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",21.05
2025-01-17,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",43.05
2025-01-19,amex-1001,AMAZON.CA*ZG90O7ZD0     AMAZON.CA,39.99
2025-01-19,amex-1001,APPLE.COM/BILL          TORONTO,4.51
2025-01-20,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",25.14
2025-01-21,amex-1001,FELIX HEALTH INC.       TORONTO,9.00
2025-01-21,cibc-2451,**CASH ADVANCE - AVANCE D E FONDS**,300.00
2025-01-21,cibc-2451,CASH ADV/BT/CONV CHQ FEE,5.00
2025-01-21,cibc-2451,PAYMENT THANK YOU/PAIEMEN T MERCI,-500.44
2025-01-21,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",24.49
2025-01-21,cibc-8359,PAYMENT THANK YOU/PAIEMEN T MERCI,-143.95
2025-01-22,amex-1001,FELIX HEALTH INC.       TORONTO,315.00
2025-01-22,amex-1001,GOOGLE *FITBIT LLC      G.CO/HELPPAY#,14.68
2025-01-22,amex-1001,TASTY CHINESE FOOD TORO TORONTO,14.22
2025-01-22,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",25.93
2025-01-22,cibc-8359,"COSTCO WHOLESALE W524 ETOBICOKE, ON",52.83
2025-01-23,amex-1001,=HOLYCOWSTEAKHOUSE 001  TORONTO,22.99
2025-01-23,amex-1001,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50
2025-01-23,cibc-2451,"AMAZON* ZC5WP2H42 VANCOUVER, BC",53.65
2025-01-23,cibc-2451,"AMAZON* ZG93K3Q60 VANCOUVER, BC",80.13
2025-01-23,cibc-2451,"DOORDASHDASHPASS DOWNTOWN TORO, ON",11.29
2025-01-23,cibc-2451,PAYMENT THANK YOU/PAIEMEN T MERCI,-500.00
2025-01-23,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",8.99
2025-01-23,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",19.93
2025-01-23,cibc-2451,"WWW COSTCO CA 888-426-7826, ON",361.59
2025-01-24,amex-1001,MOS MOS COFFEE 21130909 TORONTO,6.25
2025-01-24,amex-1001,SHAKE SHACK 2 00-080435 TORONTO,22.55
2025-01-24,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",39.98
2025-01-25,amex-1001,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,14.68
2025-01-26,amex-1001,SP AM0MENT_-BOOKS       TORONTO,14.69
2025-01-26,amex-1001,SP AM0MENT_-BOOKS       TORONTO,20.33
2025-01-26,amex-1001,SP AM0MENT_-BOOKS       TORONTO,29.36
2025-01-27,cibc-2451,"AMAZON* ZC5I49OY0 VANCOUVER, BC",67.77
2025-01-27,cibc-2451,CASH INTEREST,2.99
