transaction_date,card,merchant,amount_cad
2026-01-01,amex-1001,GOOGLE *CLOUD TWSQKS    G.CO/HELPPAY#,157.43
2026-01-02,amex-1001,2403384 ONTARIO LIMITED CALEDON,13.33
2026-01-02,amex-1001,BELL CANADA (OB)        MONTREAL,197.69
2026-01-02,amex-1001,INFLUXDATA              SAN FRANCISCO,69.63
2026-01-02,amex-1001,THE INFORMATION         SAN FRANCISCO,63.40
2026-01-03,amex-1001,Brant - Montfort Medite Burlington,31.40
2026-01-03,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,18.07
2026-01-03,amex-1001,SHOPPERS DRUG MART #115 SIMCOE,128.99
2026-01-04,amex-1001,AMZN MKTP CA*1P8M84T93  866-216-1072,31.18
2026-01-04,amex-1001,AMZN MKTP CA*9Z8X90F23  866-216-1072,27.11
2026-01-04,amex-1001,AMZN MKTP CA*J396E8863  866-216-1072,27.11
2026-01-04,amex-1001,AMZN MKTP CA*JC9839KT3  866-216-1072,270.07
2026-01-04,amex-1001,ULINE                   800-295-5510,432.15
2026-01-05,amex-1001,CAMBRIDGE GROUP OF CL   416-363-9454,264.40
2026-01-05,amex-1001,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50
2026-01-05,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",10.37
2026-01-06,amex-1001,AMAZON.CA*RI25N66C3     866-216-1072,29.98
2026-01-06,amex-1001,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50
2026-01-06,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,12.31
2026-01-06,amex-1001,WALMART 5752 5752       SIMCOE,18.06
2026-01-06,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",10.49
2026-01-07,amex-1001,AMZN MKTP CA*6J46F7RP3  866-216-1072,45.19
2026-01-07,amex-1001,AMZN MKTP CA*IC41O90F3  866-216-1072,145.76
2026-01-07,amex-1001,MEMBERSHIP FEE INSTALLMENT,15.99
2026-01-07,cibc-8359,"BARBURRITO SIMCOE, ON",16.38
2026-01-08,amex-1001,AMZN MKTP CA*G64GD1M73  866-216-1072,119.77
2026-01-08,amex-1001,CINEPLEX #7291          BRANTFORD,6.20
2026-01-08,amex-1001,CINEPLEX #8030 WEB QP   TORONTO,14.97
2026-01-08,amex-1001,ULINE                   800-295-5510,1807.08
2026-01-08,cibc-8359,"OF London, GBR 10.17 USD @ 1.413962",14.38
2026-01-09,amex-1001,AMZN MKTP CA*860KO9AK3  866-216-1072,359.31
2026-01-09,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,44.80
2026-01-09,amex-1001,SQUARE ONE INSURANCE S  VANCOUVER,16.34
2026-01-10,amex-1001,"CURSOR, AI POWERED IDE  NEW YORK",28.51
2026-01-10,amex-1001,RONA+ BRANTFORD 82492 R BRANTFORD,42.88
2026-01-10,amex-1001,THE HOME DEPOT #7138    BRANTFORD,265.39
2026-01-11,amex-1001,AMZN MKTP CA*U06PN9A93  866-216-1072,64.38
2026-01-11,amex-1001,RONA SIMCOE 33420 RONA  SIMCOE,20.10
2026-01-12,amex-1001,AMZN MKTP CA*5C5GR1E93  866-216-1072,18.07
2026-01-12,amex-1001,AMZN MKTP CA*V49F62823  866-216-1072,64.38
2026-01-12,cibc-8359,"COSTCO GAS #1669 BRANTFORD, ON",57.49
2026-01-12,cibc-8359,"COSTCO WHOLESALE #1669 BRANTFORD, ON",50.09
2026-01-12,cibc-8359,"NBX*BORDEN S FITNESS WATERFORD, ON",50.85
2026-01-12,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",26.42
2026-01-12,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",51.90
2026-01-13,amex-1001,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,31.64
2026-01-13,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,10.05
2026-01-13,amex-1001,SECURITY NATIONAL INSU  MONTREAL,193.08
2026-01-13,cibc-8359,"SIMCOE HOME HARDWARE SIMCOE, ON",82.87
2026-01-14,cibc-8359,"BARBURRITO SIMCOE, ON",20.90
2026-01-14,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",32.44
2026-01-16,amex-1001,AMAZON.CA*YC3FS1D83     866-216-1072,54.57
2026-01-16,amex-1001,D J*WSJ                 800-568-7625,4.52
2026-01-16,amex-1001,SWISS CHALET 1958       SIMCOE,41.03
2026-01-16,amex-1001,ULINE                   800-295-5510,1806.98
